0.120046,1
0.120046,0
0.160608,1
0.160608,0
0.161552,1
0.161552,0
0.162496,1
0.162496,0
0.16344,1
0.16344,0
0.164384,1
0.164384,0
0.201123,1
0.201123,0
0.202067,1
0.202067,0
0.203011,1
0.203011,0
0.203955,1
0.203955,0
0.204899,1
0.204899,0
0.205843,1
0.205843,0
0.206787,1
0.206787,0
0.241638,1
0.241638,0
0.242582,1
0.242582,0
0.243526,1
0.243526,0
0.24447,1
0.24447,0
0.245414,1
0.245414,0
0.246358,1
0.246358,0
0.247302,1
0.247302,0
0.248246,1
0.248246,0
0.24919,1
0.24919,0
0.250134,1
0.250134,0
0.251078,1
0.251078,0
0.282626,1
0.282626,0
0.28357,1
0.28357,0
0.284514,1
0.284514,0
0.285458,1
0.285458,0
0.286402,1
0.286402,0
0.287346,1
0.287346,0
0.28829,1
0.28829,0
0.289234,1
0.289234,0
0.290178,1
0.290178,0
0.291122,1
0.291122,0
0.292066,1
0.292066,0
0.29301,1
0.29301,0
0.293954,1
0.293954,0
0.294898,1
0.294898,0
0.295842,1
0.295842,0
0.296786,1
0.296786,0
0.323141,1
0.323141,0
0.324085,1
0.324085,0
0.325029,1
0.325029,0
0.325973,1
0.325973,0
0.326917,1
0.326917,0
0.327861,1
0.327861,0
0.328805,1
0.328805,0
0.329749,1
0.329749,0
0.330693,1
0.330693,0
0.331637,1
0.331637,0
0.332581,1
0.332581,0
0.333525,1
0.333525,0
0.334469,1
0.334469,0
0.335413,1
0.335413,0
0.336357,1
0.336357,0
0.337301,1
0.337301,0
0.338245,1
0.338245,0
0.339189,1
0.339189,0
0.340133,1
0.340133,0
0.341077,1
0.341077,0
0.342021,1
0.342021,0
0.342965,1
0.342965,0
0.343909,1
0.343909,0
0.344853,1
0.344853,0
0.363656,1
0.363656,0
0.3646,1
0.3646,0
0.365544,1
0.365544,0
0.366488,1
0.366488,0
0.367432,1
0.367432,0
0.368376,1
0.368376,0
0.36932,1
0.36932,0
0.370264,1
0.370264,0
0.371208,1
0.371208,0
0.372152,1
0.372152,0
0.373096,1
0.373096,0
0.37404,1
0.37404,0
0.374984,1
0.374984,0
0.375928,1
0.375928,0
0.376872,1
0.376872,0
0.377816,1
0.377816,0
0.37876,1
0.37876,0
0.379704,1
0.379704,0
0.380648,1
0.380648,0
0.381592,1
0.381592,0
0.382536,1
0.382536,0
0.38348,1
0.38348,0
0.384424,1
0.384424,0
0.385368,1
0.385368,0
0.386312,1
0.386312,0
0.387256,1
0.387256,0
0.3882,1
0.3882,0
0.389144,1
0.389144,0
0.390088,1
0.390088,0
0.391032,1
0.391032,0
0.391976,1
0.391976,0
0.39292,1
0.39292,0
0.393864,1
0.393864,0
0.394808,1
0.394808,0
0.395752,1
0.395752,0
0.396696,1
0.396696,0
0.404171,1
0.404171,0
0.405115,1
0.405115,0
0.406059,1
0.406059,0
0.407003,1
0.407003,0
0.407947,1
0.407947,0
0.408891,1
0.408891,0
0.409835,1
0.409835,0
0.410779,1
0.410779,0
0.411723,1
0.411723,0
0.412667,1
0.412667,0
0.413611,1
0.413611,0
0.414555,1
