0.120046,1
0.120046,0
0.160608,1
0.160608,0
0.161552,1
0.161552,0
0.162496,1
0.162496,0
0.16344,1
0.16344,0
0.164384,1
0.164384,0
0.201123,1
0.201123,0
0.202067,1
0.202067,0
0.203011,1
0.203011,0
0.203955,1
0.203955,0
0.204899,1
0.204899,0
0.205843,1
0.205843,0
0.206787,1
0.206787,0
0.207731,1
0.207731,0
0.208675,1
0.208675,0
0.241638,1
0.241638,0
0.242582,1
0.242582,0
0.243526,1
0.243526,0
0.24447,1
0.24447,0
0.245414,1
0.245414,0
0.246358,1
0.246358,0
0.247302,1
0.247302,0
0.248246,1
0.248246,0
0.24919,1
0.24919,0
0.250134,1
0.250134,0
0.251078,1
0.251078,0
0.252022,1
0.252022,0
0.252966,1
0.252966,0
0.25391,1
0.25391,0
0.254854,1
0.254854,0
0.255798,1
0.255798,0
0.256742,1
0.256742,0
0.257686,1
0.257686,0
0.282154,1
0.282154,0
0.283098,1
0.283098,0
0.284042,1
0.284042,0
0.284986,1
0.284986,0
0.28593,1
0.28593,0
0.286874,1
0.286874,0
0.287818,1
0.287818,0
0.288762,1
0.288762,0
0.289706,1
0.289706,0
0.29065,1
0.29065,0
0.291594,1
0.291594,0
0.292538,1
0.292538,0
0.293482,1
0.293482,0
0.294426,1
0.294426,0
0.29537,1
0.29537,0
0.296314,1
0.296314,0
0.297258,1
0.297258,0
0.298202,1
0.298202,0
0.299146,1
0.299146,0
0.30009,1
0.30009,0
0.301034,1
0.301034,0
0.301978,1
0.301978,0
0.302922,1
0.302922,0
0.303866,1
0.303866,0
0.30481,1
0.30481,0
0.305754,1
0.305754,0
0.306698,1
0.306698,0
0.307642,1
0.307642,0
0.308586,1
0.308586,0
0.30953,1
0.30953,0
0.310474,1
0.310474,0
0.311418,1
0.311418,0
0.312362,1
0.312362,0
0.313306,1
0.313306,0
0.31425,1
0.31425,0
0.315194,1
0.315194,0
0.322669,1
0.322669,0
0.323613,1
0.323613,0
0.324557,1
0.324557,0
0.325501,1
0.325501,0
0.326445,1
0.326445,0
0.327389,1
0.327389,0
0.328333,1
0.328333,0
0.329277,1
0.329277,0
0.330221,1
0.330221,0
0.331165,1
0.331165,0
0.332109,1
0.332109,0
0.333053,1
0.333053,0
0.333997,1
0.333997,0
0.334941,1
0.334941,0
0.335885,1
0.335885,0
0.336829,1
0.336829,0
0.337773,1
0.337773,0
0.338717,1
0.338717,0
0.339661,1
0.339661,0
0.340605,1
0.340605,0
0.341549,1
0.341549,0
0.342493,1
0.342493,0
0.343437,1
0.343437,0
0.344381,1
0.344381,0
0.345325,1
0.345325,0
0.346269,1
0.346269,0
0.347213,1
0.347213,0
0.348157,1
0.348157,0
0.349101,1
0.349101,0
0.350045,1
0.350045,0
0.350989,1
0.350989,0
0.351933,1
0.351933,0
0.352877,1
0.352877,0
0.353821,1
0.353821,0
0.354765,1
0.354765,0
0.355709,1
0.355709,0
0.356653,1
0.356653,0
0.357597,1
0.357597,0
0.358541,1
0.358541,0
0.359485,1
0.359485,0
0.360429,1
0.360429,0
0.361373,1
0.361373,0
0.362317,1
